LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
1100,25860,39025,HomeImp,Other,10.5,0,0,94.36666667,1,9,
1300,70053,68400,HomeImp,Other,7,0,2,121.8333333,0,14,
1500,13500,16700,HomeImp,Other,4,0,0,149.4666667,1,10,
1500,,,,,,,,,,,
1700,97800,112000,HomeImp,Office,3,0,0,93.33333333,0,14,
1700,30548,40320,HomeImp,Other,9,0,0,101.4660019,1,8,37.11361356
1800,48649,57037,HomeImp,Other,5,3,2,77.1,1,17,
1800,28502,43034,HomeImp,Other,11,0,0,88.76602988,0,8,36.88489409
2000,32700,46740,HomeImp,Other,3,0,2,216.9333333,1,12,
2000,,62250,HomeImp,Sales,16,0,0,115.8,0,13,
2000,22608,,,,18,,,,,,
2000,20627,29800,HomeImp,Office,11,0,1,122.5333333,1,9,
2000,45000,55000,HomeImp,Other,3,0,0,86.06666667,2,25,
2000,64536,87400,,Mgr,2.5,0,0,147.1333333,0,24,
2100,71000,83850,HomeImp,Other,8,0,1,123,0,16,
2200,24280,34687,HomeImp,Other,,0,1,300.8666667,0,8,
2200,90957,102600,HomeImp,Mgr,7,2,6,122.9,1,22,
2200,23030,,,,19,,,,,,3.7113123
2300,28192,40150,HomeImp,Other,4.5,0,0,54.6,1,16,
2300,102370,120953,HomeImp,Office,2,0,0,90.99253347,0,13,31.58850318
2300,37626,46200,HomeImp,Other,3,0,1,122.2666667,1,14,
2400,50000,73395,HomeImp,ProfExe,5,1,0,,1,0,
2400,28000,40800,HomeImp,Mgr,12,0,0,67.2,2,22,
2400,18000,,HomeImp,Mgr,22,,2,121.7333333,0,10,
2400,,17180,HomeImp,Other,,0,0,14.56666667,3,4,
2400,34863,47471,HomeImp,Mgr,12,0,0,70.49108003,1,21,38.26360073
2400,98449,117195,HomeImp,Office,4,0,0,93.81177486,0,13,29.68182705
2500,15000,20200,HomeImp,,18,0,0,136.0666667,1,19,
2500,25116,36350,HomeImp,Other,10,1,2,276.9666667,0,9,
2500,7229,44516,HomeImp,Self,,0,0,208,0,12,
2500,71408,78600,HomeImp,ProfExe,8,0,0,255.7333333,0,12,
2800,50795,63100,HomeImp,Self,26,2,15,145.6333333,3,45,
2800,4000,60850,HomeImp,Other,16,4,0,112.6333333,2,9,
2900,78600,113000,DebtCon,ProfExe,6,1,0,165.3333333,2,26,
2900,103949,112505,HomeImp,Office,1,0,0,96.10232967,0,13,30.05113629
2900,104373,120702,HomeImp,Office,2,0,0,101.5402975,0,13,29.91585903
2900,7750,67996,HomeImp,Other,16,3,0,122.2046628,2,8,36.211348
2900,61962,70915,DebtCon,Mgr,2,0,0,282.8016592,3,37,49.20639579
3000,104570,121729,HomeImp,Office,2,0,0,85.8843719,0,14,32.05978327
3000,7000,20300,HomeImp,Other,3,0,0,50.8,5,9,
3000,,8800,HomeImp,Other,2,0,1,77.76666667,0,3,
3000,,33000,HomeImp,Other,1,0,1,23.3,1,2,
3000,119826,193500,HomeImp,Other,8,0,0,130.0333585,0,27,
3000,20000,29750,DebtCon,Other,2,0,0,187.0666667,0,12,
3000,,14500,HomeImp,Other,3,0,0,9.3,14,2,
3000,,14100,HomeImp,Other,1,0,0,104.2,0,19,
3000,47000,82700,HomeImp,ProfExe,10,0,1,262.1666667,5,26,
3000,34542,45900,HomeImp,Mgr,8.5,0,2,62.36666667,0,10,
3000,58000,71500,HomeImp,Mgr,10,,2,211.9333333,0,25,
3000,47000,56400,HomeImp,Office,21,0,0,201.8666667,0,20,
3100,39589,36100,HomeImp,Other,1.5,0,0,153.1666667,1,14,
3100,,70400,,,,,,,,,
3200,67848,74566,HomeImp,Mgr,10,,1,206.4266021,0,25,40.11567728
3200,48603,61000,HomeImp,ProfExe,28,0,4,122.0333333,1,25,
3200,27200,40834,HomeImp,Other,,0,0,298.131564,0,7,35.55353879
3200,54000,64850,HomeImp,Other,1,0,0,121.8666667,3,21,
3200,74864,87266,HomeImp,ProfExe,7,0,0,250.6312692,0,12,42.90999735
3200,23159,,HomeImp,Mgr,20,,2,117.8057478,0,9,0.524499215
3300,126541,134527,HomeImp,Sales,9,1,0,139,0,36,
3300,130518,164317,DebtCon,Other,9,0,6,192.289149,0,33,35.73055919
